name,school,nces_id,district,category,posting_type,salary_link,city,address,zip,grades,school_type,student_count,school_type2,county,salary,fips
Instructional Specialist (2025-2026) (120 Day) - (25002831),McGavock Elementary,470318001341,Metro Nashville Public Schools,Reading/Literacy,School,https://drive.google.com/file/d/1A4h4YNjOMlL-DpqEOltTxSK3dyWsDIrF/view,Nashville,275 McGavock Pike,37214,"['1', '2', '3', '4', '5', 'KG', 'PK']",Public,298.0,['Elementary'],Davidson,70137,47037
Teacher Exceptional Education Interventionist (2025-2026) - (25003342),Nashville School Of The Arts,470318001815,Metro Nashville Public Schools,Special Education (General),School,https://drive.google.com/file/d/1A4h4YNjOMlL-DpqEOltTxSK3dyWsDIrF/view,Nashville,1250 Foster Ave,37210,"['10', '11', '12', '9']",Public,622.0,['High'],Davidson,70137,47037
Teacher Language Spanish (2025-2026) - (25002557),Ruby Major Elementary,470318002102,Metro Nashville Public Schools,Foreign Language: Spanish,School,https://drive.google.com/file/d/1A4h4YNjOMlL-DpqEOltTxSK3dyWsDIrF/view,Hermitage,5141 John Hager Rd,37076,"['1', '2', '3', '4', '5', 'KG', 'PK']",Public,546.0,['Elementary'],Davidson,70137,47037
Teacher Ex Ed Interventionist (2025-2026) - (25002558),Ruby Major Elementary,470318002102,Metro Nashville Public Schools,Special Education (Comprehensive),School,https://drive.google.com/file/d/1A4h4YNjOMlL-DpqEOltTxSK3dyWsDIrF/view,Hermitage,5141 John Hager Rd,37076,"['1', '2', '3', '4', '5', 'KG', 'PK']",Public,546.0,['Elementary'],Davidson,70137,47037
Teacher Kindergarten (2025-2026) - (25002462),Robert Churchwell Elementary,470318002201,Metro Nashville Public Schools,Early Childhood,School,https://drive.google.com/file/d/1A4h4YNjOMlL-DpqEOltTxSK3dyWsDIrF/view,Nashville,1625 Dr. D. B. Todd Jr. Blvd,37208,"['1', '2', '3', '4', '5', 'KG', 'PK']",Public,289.0,['Elementary'],Davidson,70137,47037
Teacher Kindergarten (2025-2026) - (25002460),Robert Churchwell Elementary,470318002201,Metro Nashville Public Schools,Early Childhood,School,https://drive.google.com/file/d/1A4h4YNjOMlL-DpqEOltTxSK3dyWsDIrF/view,Nashville,1625 Dr. D. B. Todd Jr. Blvd,37208,"['1', '2', '3', '4', '5', 'KG', 'PK']",Public,289.0,['Elementary'],Davidson,70137,47037
GRADE 4 TEACHER (PENDING BUDGET APPROVAL),Sunset Elementary School,470453002097,Williamson County,Elementary/Multiple Subjects,School,https://drive.google.com/file/d/1f2GeoM9UjVlk2yTf9T0kgpdCHJ6rMXKx/view,Brentwood,100 Sunset Trail,37027,"['1', '2', '3', '4', '5', 'KG', 'PK']",Public,623.0,['Elementary'],Williamson,58686,47187
Internship for Speech Language,,,Wilson County,Language Arts,District,https://drive.google.com/file/d/1Fsi53MEKr4-P_JY2gSVMq97BN1oGBLNA/view,,,,,,,,Wilson,57304,47189
Art Teacher (K-5) [2025-2026 Pending Budget Approval],,,Wilson County,Visual Arts,District,https://drive.google.com/file/d/1Fsi53MEKr4-P_JY2gSVMq97BN1oGBLNA/view,,,,,,,,Wilson,57304,47189
iteach - Alternative Licensure Pathway,,,Wilson County,Other,District,https://drive.google.com/file/d/1Fsi53MEKr4-P_JY2gSVMq97BN1oGBLNA/view,,,,,,,,Wilson,57304,47189
Elementary Teacher (K-3) (2025-2026),,,Wilson County,Elementary/Multiple Subjects,District,https://drive.google.com/file/d/1Fsi53MEKr4-P_JY2gSVMq97BN1oGBLNA/view,,,,,,,,Wilson,57304,47189
