name,school,nces_id,district,category,posting_type,salary_link,city,address,zip,grades,school_type,student_count,school_type2,county,salary,fips
Teacher Gifted & Talented PreK-8 (2025-2026) (.5 FTE) - (25003393),Waverly-Belmont Elementary School,470318002457,Metro Nashville Public Schools,Gifted Education,School,https://drive.google.com/file/d/1A4h4YNjOMlL-DpqEOltTxSK3dyWsDIrF/view,Nashville,2301 10th Ave South,37204,"['1', '2', '3', '4', '5', 'KG']",Public,481.0,['Elementary'],Davidson,70137,47037
High School Mathematics Teacher - (2025-2026 School Year),Riverdale High School,470369001524,Rutherford County,Mathematics,School,https://drive.google.com/file/d/1tzQ_-LKsypULxy-UYWeMRcsUXhapl-3n/view,Murfreesboro,802 Warrior Dr,37128,"['10', '11', '12', '9']",Public,2043.0,['High'],Rutherford,63703,47149
Possible Growth SpEd. Teacher (2025-2026 School Year),Siegel High School,470369002038,Rutherford County,Special Education (General),School,https://drive.google.com/file/d/1tzQ_-LKsypULxy-UYWeMRcsUXhapl-3n/view,Murfreesboro,3300 Siegel Rd,37129,"['10', '11', '12', '9']",Public,1861.0,['High'],Rutherford,63703,47149
High School AP Chemistry Teacher (2025-2026 School Year),Stewarts Creek High School,470369002318,Rutherford County,Science,School,https://drive.google.com/file/d/1tzQ_-LKsypULxy-UYWeMRcsUXhapl-3n/view,Smyrna,301 Red Hawk Pkwy,37167,"['10', '11', '12', '9']",Public,2391.0,['High'],Rutherford,63703,47149
Head Girl's Basketball Coach/Wellness Teacher (2025-2026 School Year),Stewarts Creek High School,470369002318,Rutherford County,Health & Physical Education,School,https://drive.google.com/file/d/1tzQ_-LKsypULxy-UYWeMRcsUXhapl-3n/view,Smyrna,301 Red Hawk Pkwy,37167,"['10', '11', '12', '9']",Public,2391.0,['High'],Rutherford,63703,47149
Classroom Teacher– Summer Learning Academy - ESL,Shelby Oaks Elementary,470014800499,Memphis-Shelby County Schools,English as a Second Language (ESL),School,https://drive.google.com/file/d/18aiSDErNckscdPF6a5CdCDayEkkfBf94/view,Memphis,6053 Summer Ave,38134,"['1', '2', '3', '4', '5', 'KG', 'PK']",Public,743.0,['Elementary'],Shelby,62654,47157
Specialty Teacher K-12 – Summer Learning Academy,Shrine School,470014801157,Memphis-Shelby County Schools,Elementary/Multiple Subjects,School,https://drive.google.com/file/d/18aiSDErNckscdPF6a5CdCDayEkkfBf94/view,Memphis,4259 Forest View Dr,38118,"['1', '10', '11', '12', '2', '3', '4', '5', '6', '7', '8', '9', 'KG', 'PK']",Public,138.0,"['Elementary', 'Middle', 'High']",Shelby,62654,47157
Teacher Art (2025-2026) (.5 FTE) - (25003451),Crieve Hall Elementary,470318001280,Metro Nashville Public Schools,Visual Arts,School,https://drive.google.com/file/d/1A4h4YNjOMlL-DpqEOltTxSK3dyWsDIrF/view,Nashville,498 Hogan Rd,37220,"['1', '2', '3', '4', '5', 'KG']",Public,459.0,['Elementary'],Davidson,70137,47037
Teacher Grade 1 25-26 SY - (25001561),Crieve Hall Elementary,470318001280,Metro Nashville Public Schools,Elementary/Multiple Subjects,School,https://drive.google.com/file/d/1A4h4YNjOMlL-DpqEOltTxSK3dyWsDIrF/view,Nashville,498 Hogan Rd,37220,"['1', '2', '3', '4', '5', 'KG']",Public,459.0,['Elementary'],Davidson,70137,47037
Teacher Kindergarten (2025-2026) - (25002798),Tusculum Elementary,470318001374,Metro Nashville Public Schools,Early Childhood,School,https://drive.google.com/file/d/1A4h4YNjOMlL-DpqEOltTxSK3dyWsDIrF/view,Nashville,440 McMurray Dr,37211,"['1', '2', '3', '4', 'KG', 'PK']",Public,664.0,['Elementary'],Davidson,70137,47037
Teacher Language Spanish (2025-2026) - (25002514),Lockeland Elementary,470318001755,Metro Nashville Public Schools,Foreign Language: Spanish,School,https://drive.google.com/file/d/1A4h4YNjOMlL-DpqEOltTxSK3dyWsDIrF/view,Nashville,105 South 17th St,37206,"['1', '2', '3', '4', '5', 'KG']",Public,314.0,['Elementary'],Davidson,70137,47037
Teacher Grade 4 (2025-2026) - (25002512),Lockeland Elementary,470318001755,Metro Nashville Public Schools,Elementary/Multiple Subjects,School,https://drive.google.com/file/d/1A4h4YNjOMlL-DpqEOltTxSK3dyWsDIrF/view,Nashville,105 South 17th St,37206,"['1', '2', '3', '4', '5', 'KG']",Public,314.0,['Elementary'],Davidson,70137,47037
CTE- Health Science Teacher (2025-2026 School Year),Blackman High School,470369001354,Rutherford County,Career and Technical Education,School,https://drive.google.com/file/d/1tzQ_-LKsypULxy-UYWeMRcsUXhapl-3n/view,Murfreesboro,3956 Blaze Dr,37128,"['10', '11', '12', '9']",Public,2194.0,['High'],Rutherford,63703,47149
