school_x,nces_id,city,address,zip,district,grades,school_type,student_count,salary_link,school_type2
Dresden High School,470447001778,Dresden,7150 Highway 22,38225,Weakley County,"['10', '11', '12', '9']",Public,314.0,https://drive.google.com/file/d/1RyMp_qqGnnGUFG6hX_5Xu6u-767tmvcd/view,['High']
Dresden Middle School,470447001779,Dresden,,,,,,,,
Gleason School,470447001780,Gleason,92-99 State Championship Dr,38229,Weakley County,"['1', '10', '11', '12', '2', '3', '4', '5', '6', '7', '8', '9', 'KG', 'PK']",Public,391.0,https://drive.google.com/file/d/1RyMp_qqGnnGUFG6hX_5Xu6u-767tmvcd/view,"['Elementary', 'Middle', 'High']"
Greenfield School,470447001782,Greenfield,319 West Main St,38230,Weakley County,"['1', '10', '11', '12', '2', '3', '4', '5', '6', '7', '8', '9', 'KG', 'PK']",Public,485.0,https://drive.google.com/file/d/1RyMp_qqGnnGUFG6hX_5Xu6u-767tmvcd/view,"['Elementary', 'Middle', 'High']"
Martin Elementary,470447001784,Martin,300 South College St,38237,Weakley County,"['3', '4', '5']",Public,367.0,https://drive.google.com/file/d/1RyMp_qqGnnGUFG6hX_5Xu6u-767tmvcd/view,['Elementary']
Martin Middle School,470447001785,Martin,,,,,,,,
Sharon School,470447001788,Sharon,254 North Woodlawn Dr,38255,Weakley County,"['1', '2', '3', '4', '5', '6', '7', '8', 'KG', 'PK']",Public,168.0,https://drive.google.com/file/d/1RyMp_qqGnnGUFG6hX_5Xu6u-767tmvcd/view,"['Elementary', 'Middle']"
Weakley County Center For Adult Continuing Education,470447001789,Dresden,,,,,,,,
Westview High School,470447001790,Martin,8161 Highway 45,38237,Weakley County,"['10', '11', '12', '9']",Public,560.0,https://drive.google.com/file/d/1RyMp_qqGnnGUFG6hX_5Xu6u-767tmvcd/view,['High']
Martin Primary,470447001866,Martin,,,,,,,,
West Carroll Primary,470449000149,McLemoresville,,,,,,,,
West Carroll Junior/Senior High School,470449001913,Atwood,,,,,,,,
West Carroll Elementary School,470449001914,Trezevant,,,,,,,,
Northfield Elementary School,470450001363,Sparta,570 S Bunker Hill Rd,38583,White County,"['1', '2', '3', '4', '5', 'KG', 'PK']",Public,303.0,https://drive.google.com/file/d/1x7Uzhimaj7i8jscBdzJxgvXUv6MhKgpq/view,['Elementary']
