school_x,nces_id,city,address,zip,district,grades,school_type,student_count,salary_link,school_type2
Alpha Elementary,470000100477,Morristown,5620 Old Us 11e Hwy,37814,Hamblen County,"['1', '2', '3', '4', '5', 'KG']",Public,606.0,https://drive.google.com/file/d/1gOmzE-qHfhDrALaZ7fyOf0HUXMvrVmVy/view,['Elementary']
East Ridge Middle School,470000100479,Whitesburg,,,,,,,,
Fairview Marguerite,470000100480,Morristown,2125 Fairview Rd,37814,Hamblen County,"['1', '2', '3', '4', '5', 'KG', 'PK']",Public,490.0,https://drive.google.com/file/d/1gOmzE-qHfhDrALaZ7fyOf0HUXMvrVmVy/view,['Elementary']
Manley Elementary,470000100481,Morristown,,,,,,,,
Russellville Elementary,470000100483,Russellville,5655 Old Russellville Pike,37860,Hamblen County,"['1', '2', '3', '4', '5', 'KG', 'PK']",Public,624.0,https://drive.google.com/file/d/1gOmzE-qHfhDrALaZ7fyOf0HUXMvrVmVy/view,['Elementary']
Union Heights Elementary,470000100485,Morristown,,,,,,,,
Whitesburg Elementary,470000100487,Whitesburg,,,,,,,,
Witt Elementary,470000100488,Morristown,,,,,,,,
Hamblen County Alternative School,470000101268,Morristown,,,,,,,,
West View Middle School,470000101271,Morristown,,,,,,,,
Hillcrest Elementary,470000101929,Morristown,407 S Liberty Hill Rd,37813,Hamblen County,"['1', '2', '3', '4', '5', 'KG', 'PK']",Public,604.0,https://drive.google.com/file/d/1gOmzE-qHfhDrALaZ7fyOf0HUXMvrVmVy/view,['Elementary']
John Hay Elementary,470000101930,Morristown,501 Brittain Court,37814,Hamblen County,"['1', '2', '3', '4', '5', 'KG']",Public,266.0,https://drive.google.com/file/d/1gOmzE-qHfhDrALaZ7fyOf0HUXMvrVmVy/view,['Elementary']
Lincoln Heights Elementary,470000101931,Morristown,215 Lincoln Ave,37813,Hamblen County,"['1', '2', '3', '4', '5', 'KG', 'PK']",Public,525.0,https://drive.google.com/file/d/1gOmzE-qHfhDrALaZ7fyOf0HUXMvrVmVy/view,['Elementary']
Lincoln Heights Middle School,470000101933,Morristown,,,,,,,,
Meadowview Middle School,470000101934,Morristown,1623 Meadowview Ln,37814,Hamblen County,"['6', '7', '8']",Public,627.0,https://drive.google.com/file/d/1gOmzE-qHfhDrALaZ7fyOf0HUXMvrVmVy/view,['Middle']
Morristown East High,470000101935,Morristown,One Hurricane Ln,37813,Hamblen County,"['10', '11', '12', '9']",Public,1572.0,https://drive.google.com/file/d/1gOmzE-qHfhDrALaZ7fyOf0HUXMvrVmVy/view,['High']
Morristown West High,470000101936,Morristown,One Trojan TRL,37813,Hamblen County,"['10', '11', '12', '9']",Public,1506.0,https://drive.google.com/file/d/1gOmzE-qHfhDrALaZ7fyOf0HUXMvrVmVy/view,['High']
West Elementary,470000101937,Morristown,235 W Converse,37814,Hamblen County,"['1', '2', '3', '4', '5', 'KG', 'PK']",Public,432.0,https://drive.google.com/file/d/1gOmzE-qHfhDrALaZ7fyOf0HUXMvrVmVy/view,['Elementary']
Alamo Elementary,470003000001,Alamo,,,,,,,,
Alcoa Elementary,470006000234,Alcoa,,,,,,,,
Alcoa High School,470006000235,Alcoa,,,,,,,,
Alcoa Middle School,470006000236,Alcoa,,,,,,,,
Alcoa Intermediate School,470006002445,Alcoa,,,,,,,,
Anderson County Career Technical Center,470009000003,Clinton,140 Maverick CIR,37716,Anderson County,"['10', '11', '12', '9']",Public,0.0,https://drive.google.com/file/d/1KYG9WFyK8Z4bQnQcX1W2BBlIIBdjXAsO/view,['High']
Andersonville Elementary,470009000004,Andersonville,,,,,,,,
Briceville Elementary,470009000005,Briceville,,,,,,,,
Claxton Elementary,470009000006,Powell,,,,,,,,
Clinton Middle School,470009000007,Clinton,110 N Hicks St,37716,Anderson County,"['6', '7', '8']",Public,609.0,https://drive.google.com/file/d/1KYG9WFyK8Z4bQnQcX1W2BBlIIBdjXAsO/view,['Middle']
Clinton High School,470009000008,Clinton,,,,,,,,
Dutch Valley Elementary,470009000011,Clinton,1044 Old Dutch Valley Rd,37716,Anderson County,"['1', '2', '3', '4', '5', 'KG', 'PK']",Public,114.0,https://drive.google.com/file/d/1KYG9WFyK8Z4bQnQcX1W2BBlIIBdjXAsO/view,['Elementary']
Fairview Elementary,470009000012,Heiskell,,,,,,,,
Lake City Elementary,470009000014,Lake City,402 Lindsay St,37769,Anderson County,"['1', '2', '3', '4', '5', 'KG', 'PK']",Public,403.0,https://drive.google.com/file/d/1KYG9WFyK8Z4bQnQcX1W2BBlIIBdjXAsO/view,['Elementary']
Lake City Middle School,470009000015,Lake City,1132 S Main St,37769,Anderson County,"['6', '7', '8']",Public,257.0,https://drive.google.com/file/d/1KYG9WFyK8Z4bQnQcX1W2BBlIIBdjXAsO/view,['Middle']
Norris Elementary,470009000018,Norris,,,,,,,,
Norris Middle School,470009000019,Norris,,,,,,,,
Norwood Elementary,470009000020,Oliver Springs,809 Tri- County Blvd,37840,Anderson County,"['1', '2', '3', '4', '5', 'KG', 'PK']",Public,223.0,https://drive.google.com/file/d/1KYG9WFyK8Z4bQnQcX1W2BBlIIBdjXAsO/view,['Elementary']
Norwood Middle School,470009000021,Oliver Springs,803 Tri- County Blvd,37840,Anderson County,"['6', '7', '8']",Public,159.0,https://drive.google.com/file/d/1KYG9WFyK8Z4bQnQcX1W2BBlIIBdjXAsO/view,['Middle']
Anderson County High School,470009001871,Clinton,130 Maverick CIR,37716,Anderson County,"['10', '11', '12', '9']",Public,1036.0,https://drive.google.com/file/d/1KYG9WFyK8Z4bQnQcX1W2BBlIIBdjXAsO/view,['High']
Grand Oaks Elementary,470009002002,Clinton,1033 Oliver Springs Hwy,37716,Anderson County,"['1', '2', '3', '4', '5', 'KG', 'PK']",Public,330.0,https://drive.google.com/file/d/1KYG9WFyK8Z4bQnQcX1W2BBlIIBdjXAsO/view,['Elementary']
Anderson County Head Start / Preschool,470009002163,Clinton,,,,,,,,
Clinch River Community School,470009002291,Clinton,160 Maverick Circle,37716,Anderson County,"['1', '10', '11', '12', '2', '3', '4', '5', '6', '7', '8', '9', 'KG']",Public,0.0,https://drive.google.com/file/d/1KYG9WFyK8Z4bQnQcX1W2BBlIIBdjXAsO/view,"['Elementary', 'Middle', 'High']"
Anderson County Innovation Academy,470009002641,Clinton,,,,,,,,
Athens City Middle School,470012000025,Athens,,,,,,,,
Athens City Intermediate,470012010486,Athens,,,,,,,,
Athens City Primary,470012010487,Athens,,,,,,,,
West Tennessee School for the Deaf,470014302131,Jackson,,,,,,,,
Alvin C. York Agricultural Institute,470014402133,Jamestown,,,,,,,,
Tennessee School For Blind,470014502138,Nashville,,,,,,,,
Tennessee School For Deaf Elementary School,470014602124,Knoxville,,,,,,,,
Tennessee School for the Deaf Upper School,470014602140,Knoxville,,,,,,,,
Tennessee School for the Deaf Nashville,470014602564,Nashville,,,,,,,,
Journey Coleman School,470014701034,Memphis,,,,,,,,
Fairley High School,470014701058,Memphis,,,,,,,,
Martin Luther King Preparatory High School,470014701064,Memphis,,,,,,,,
Memphis Scholars Florida Kansas,470014701140,Memphis,,,,,,,,
Wooddale Middle School,470014701187,Memphis,,,,,,,,
Cornerstone Prep - Lester Campus,470014702295,Memphis,,,,,,,,
Humes Preparatory Academy Middle School,470014702304,Memphis,,,,,,,,
Brick Church Middle School,470014702309,Nashville,,,,,,,,
Westside Middle School,470014702315,Memphis,,,,,,,,
Memphis Scholars Raleigh-Egypt,470014702458,Memphis,,,,,,,,
Kirby Middle School,470014702461,Memphis,,,,,,,,
Memphis Scholars Caldwell-Guthrie,470014702462,Memphis,,,,,,,,
Hillcrest High School,470014702466,Memphis,,,,,,,,
Highland Oaks Elementary,470014800164,Memphis,5252 Annandale Rd,38125,Memphis-Shelby County Schools,"['1', '2', '3', '4', '5', 'KG', 'PK']",Public,827.0,https://drive.google.com/file/d/18aiSDErNckscdPF6a5CdCDayEkkfBf94/view,['Elementary']
Cordova Middle,470014800176,Cordova,900 N Sanga Rd,38018,Memphis-Shelby County Schools,"['6', '7', '8']",Public,650.0,https://drive.google.com/file/d/18aiSDErNckscdPF6a5CdCDayEkkfBf94/view,['Middle']
Oak Forest Elementary,470014800179,Memphis,7440 Nonconnah View Cv,38119,Memphis-Shelby County Schools,"['1', '2', '3', '4', '5', 'KG', 'PK']",Public,411.0,https://drive.google.com/file/d/18aiSDErNckscdPF6a5CdCDayEkkfBf94/view,['Elementary']
Shelby Oaks Elementary,470014800499,Memphis,6053 Summer Ave,38134,Memphis-Shelby County Schools,"['1', '2', '3', '4', '5', 'KG', 'PK']",Public,743.0,https://drive.google.com/file/d/18aiSDErNckscdPF6a5CdCDayEkkfBf94/view,['Elementary']
Macon-Hall Elementary,470014800857,Cordova,9800 Macon Rd,38016,Memphis-Shelby County Schools,"['1', '2', '3', '4', '5', 'KG', 'PK']",Public,1141.0,https://drive.google.com/file/d/18aiSDErNckscdPF6a5CdCDayEkkfBf94/view,['Elementary']
Ida B. Wells Academy ES/MS,470014800861,Memphis,995 S Lauderdale St,38126,Memphis-Shelby County Schools,"['1', '2', '3', '4', '5', '6', '7', '8', 'KG']",Public,126.0,https://drive.google.com/file/d/18aiSDErNckscdPF6a5CdCDayEkkfBf94/view,"['Elementary', 'Middle']"
A. B. Hill Elementary,470014801011,Memphis,345 East Olive Ave,38106,Memphis-Shelby County Schools,"['1', '2', '3', '4', '5', 'KG', 'PK']",Public,618.0,https://drive.google.com/file/d/18aiSDErNckscdPF6a5CdCDayEkkfBf94/view,['Elementary']
Avon School,470014801015,Memphis,310 Avon Rd,38117,Memphis-Shelby County Schools,"['1', '10', '11', '12', '2', '3', '4', '5', '6', '7', '8', '9', 'KG']",Public,182.0,https://drive.google.com/file/d/18aiSDErNckscdPF6a5CdCDayEkkfBf94/view,"['Elementary', 'Middle', 'High']"
B. T. Washington High,470014801016,Memphis,715 S Lauderdale St,38126,Memphis-Shelby County Schools,"['10', '11', '12', '6', '7', '8', '9']",Public,477.0,https://drive.google.com/file/d/18aiSDErNckscdPF6a5CdCDayEkkfBf94/view,"['Middle', 'High']"
Bellevue Middle,470014801018,Memphis,575 S Bellevue Blvd,38104,Memphis-Shelby County Schools,"['6', '7', '8']",Public,594.0,https://drive.google.com/file/d/18aiSDErNckscdPF6a5CdCDayEkkfBf94/view,['Middle']
Berclair Elementary,470014801019,Memphis,810 N Perkins Rd,38122,Memphis-Shelby County Schools,"['1', '2', '3', '4', '5', 'KG', 'PK']",Public,646.0,https://drive.google.com/file/d/18aiSDErNckscdPF6a5CdCDayEkkfBf94/view,['Elementary']
Bethel Grove Elementary,470014801020,Memphis,2459 Arlington Ave,38114,Memphis-Shelby County Schools,"['1', '2', '3', '4', '5', 'KG', 'PK']",Public,247.0,https://drive.google.com/file/d/18aiSDErNckscdPF6a5CdCDayEkkfBf94/view,['Elementary']
Brownsville Road Elementary,470014801022,Memphis,5292 Banbury Ave,38135,Memphis-Shelby County Schools,"['1', '2', '3', '4', '5', 'KG', 'PK']",Public,467.0,https://drive.google.com/file/d/18aiSDErNckscdPF6a5CdCDayEkkfBf94/view,['Elementary']
Bruce Elementary,470014801023,Memphis,581 S Bellevue Blvd,38104,Memphis-Shelby County Schools,"['1', '2', '3', '4', '5', 'KG', 'PK']",Public,495.0,https://drive.google.com/file/d/18aiSDErNckscdPF6a5CdCDayEkkfBf94/view,['Elementary']
Campus School,470014801025,Memphis,535 Zach Curlin,38152,Memphis-Shelby County Schools,"['1', '2', '3', '4', '5', 'KG']",Public,398.0,https://drive.google.com/file/d/18aiSDErNckscdPF6a5CdCDayEkkfBf94/view,['Elementary']
Central High,470014801028,Memphis,306 S Bellevue Blvd,38104,Memphis-Shelby County Schools,"['10', '11', '12', '9']",Public,1312.0,https://drive.google.com/file/d/18aiSDErNckscdPF6a5CdCDayEkkfBf94/view,['High']
Cherokee Elementary,470014801030,Memphis,3061 Kimball Ave,38114,Memphis-Shelby County Schools,"['1', '2', '3', '4', '5', 'KG', 'PK']",Public,395.0,https://drive.google.com/file/d/18aiSDErNckscdPF6a5CdCDayEkkfBf94/view,['Elementary']
Chickasaw Middle,470014801032,Memphis,4060 Westmont Rd,38109,Memphis-Shelby County Schools,"['6', '7', '8']",Public,322.0,https://drive.google.com/file/d/18aiSDErNckscdPF6a5CdCDayEkkfBf94/view,['Middle']
Colonial Middle,470014801036,Memphis,1370 Colonial Rd,38117,Memphis-Shelby County Schools,"['6', '7', '8']",Public,1000.0,https://drive.google.com/file/d/18aiSDErNckscdPF6a5CdCDayEkkfBf94/view,['Middle']
Craigmont High,470014801040,Memphis,3333 Covington Pike,38128,Memphis-Shelby County Schools,"['10', '11', '12', '9']",Public,779.0,https://drive.google.com/file/d/18aiSDErNckscdPF6a5CdCDayEkkfBf94/view,['High']
Cromwell Elementary,470014801042,Memphis,4989 Cromwell Rd,38118,Memphis-Shelby County Schools,"['1', '2', '3', '4', '5', 'KG', 'PK']",Public,470.0,https://drive.google.com/file/d/18aiSDErNckscdPF6a5CdCDayEkkfBf94/view,['Elementary']
Cummings Elementary/Middle,470014801043,Memphis,1037 Cummings St,38106,Memphis-Shelby County Schools,"['1', '2', '3', '4', '5', '6', '7', '8', 'KG', 'PK']",Public,269.0,https://drive.google.com/file/d/18aiSDErNckscdPF6a5CdCDayEkkfBf94/view,"['Elementary', 'Middle']"
Delano Elementary,470014801045,Memphis,1716 Delano Ave,38127,Memphis-Shelby County Schools,"['1', '2', '3', '4', '5', 'KG', 'PK']",Public,283.0,https://drive.google.com/file/d/18aiSDErNckscdPF6a5CdCDayEkkfBf94/view,['Elementary']
Double Tree Elementary,470014801047,Memphis,4560 Double Tree,38109,Memphis-Shelby County Schools,"['1', '2', '3', '4', '5', 'KG', 'PK']",Public,372.0,https://drive.google.com/file/d/18aiSDErNckscdPF6a5CdCDayEkkfBf94/view,['Elementary']
Douglass Elementary/Middle,470014801048,Memphis,1650 Ash St,38108,Memphis-Shelby County Schools,"['1', '2', '3', '4', '5', '6', '7', '8', 'KG', 'PK']",Public,474.0,https://drive.google.com/file/d/18aiSDErNckscdPF6a5CdCDayEkkfBf94/view,"['Elementary', 'Middle']"
East High,470014801053,Memphis,3206 Poplar Ave,38111,Memphis-Shelby County Schools,"['10', '11', '12', '9']",Public,568.0,https://drive.google.com/file/d/18aiSDErNckscdPF6a5CdCDayEkkfBf94/view,['High']
Egypt Elementary,470014801055,Memphis,4160 Karen Cove,38128,Memphis-Shelby County Schools,"['1', '2', '3', '4', '5', 'KG', 'PK']",Public,522.0,https://drive.google.com/file/d/18aiSDErNckscdPF6a5CdCDayEkkfBf94/view,['Elementary']
Evans Elementary,470014801056,Memphis,4949 Cottonwood Rd,38118,Memphis-Shelby County Schools,"['1', '2', '3', '4', '5', 'KG', 'PK']",Public,400.0,https://drive.google.com/file/d/18aiSDErNckscdPF6a5CdCDayEkkfBf94/view,['Elementary']
Ford Road Elementary,470014801061,Memphis,3336 Ford Rd,38109,Memphis-Shelby County Schools,"['1', '2', '3', '4', '5', 'KG', 'PK']",Public,562.0,https://drive.google.com/file/d/18aiSDErNckscdPF6a5CdCDayEkkfBf94/view,['Elementary']
Gardenview Elementary,470014801065,Memphis,4075 Hartz Dr,38116,Memphis-Shelby County Schools,"['1', '2', '3', '4', '5', 'KG', 'PK']",Public,295.0,https://drive.google.com/file/d/18aiSDErNckscdPF6a5CdCDayEkkfBf94/view,['Elementary']
Georgian Hills Middle,470014801069,Memphis,3925 Denver St,38127,Memphis-Shelby County Schools,"['6', '7', '8']",Public,320.0,https://drive.google.com/file/d/18aiSDErNckscdPF6a5CdCDayEkkfBf94/view,['Middle']
Grahamwood Elementary,470014801074,Memphis,3950 Summer Ave,38122,Memphis-Shelby County Schools,"['1', '2', '3', '4', '5', 'KG', 'PK']",Public,861.0,https://drive.google.com/file/d/18aiSDErNckscdPF6a5CdCDayEkkfBf94/view,['Elementary']
Hamilton High,470014801080,Memphis,1363 E Person Ave,38106,Memphis-Shelby County Schools,"['10', '11', '12', '9']",Public,682.0,https://drive.google.com/file/d/18aiSDErNckscdPF6a5CdCDayEkkfBf94/view,['High']
Havenview Middle,470014801083,Memphis,1481 Hester Rd,38116,Memphis-Shelby County Schools,"['6', '7', '8']",Public,676.0,https://drive.google.com/file/d/18aiSDErNckscdPF6a5CdCDayEkkfBf94/view,['Middle']
Hawkins Mill Elementary,470014801084,Memphis,4295 Mountain Terrace St,38127,Memphis-Shelby County Schools,"['1', '2', '3', '4', '5', 'KG', 'PK']",Public,295.0,https://drive.google.com/file/d/18aiSDErNckscdPF6a5CdCDayEkkfBf94/view,['Elementary']
Idlewild Elementary,470014801088,Memphis,1950 Linden Ave,38104,Memphis-Shelby County Schools,"['1', '2', '3', '4', '5', 'KG']",Public,579.0,https://drive.google.com/file/d/18aiSDErNckscdPF6a5CdCDayEkkfBf94/view,['Elementary']
Jackson Elementary,470014801089,Memphis,3925 Wales Ave,38108,Memphis-Shelby County Schools,"['1', '2', '3', '4', '5', 'KG', 'PK']",Public,281.0,https://drive.google.com/file/d/18aiSDErNckscdPF6a5CdCDayEkkfBf94/view,['Elementary']
Kingsbury Elementary,470014801092,Memphis,4055 Bayliss Ave,38108,Memphis-Shelby County Schools,"['1', '2', '3', '4', '5', 'KG', 'PK']",Public,502.0,https://drive.google.com/file/d/18aiSDErNckscdPF6a5CdCDayEkkfBf94/view,['Elementary']
Kingsbury High,470014801093,Memphis,1270 N Graham St,38122,Memphis-Shelby County Schools,"['10', '11', '12', '9']",Public,1295.0,https://drive.google.com/file/d/18aiSDErNckscdPF6a5CdCDayEkkfBf94/view,['High']
Kingsbury Career Technology Center,470014801095,Memphis,1328 N Graham St,38122,Memphis-Shelby County Schools,"['10', '11', '12', '9']",Public,0.0,https://drive.google.com/file/d/18aiSDErNckscdPF6a5CdCDayEkkfBf94/view,['High']
Larose Elementary,470014801100,Memphis,864 Willoughby St,38126,Memphis-Shelby County Schools,"['1', '2', '3', '4', '5', 'KG', 'PK']",Public,295.0,https://drive.google.com/file/d/18aiSDErNckscdPF6a5CdCDayEkkfBf94/view,['Elementary']
Levi Elementary,470014801105,Memphis,135 W Levi Rd,38109,Memphis-Shelby County Schools,"['1', '2', '3', '4', '5', 'KG', 'PK']",Public,423.0,https://drive.google.com/file/d/18aiSDErNckscdPF6a5CdCDayEkkfBf94/view,['Elementary']
Manassas High,470014801113,Memphis,1111 N Manassas St,38107,Memphis-Shelby County Schools,"['10', '11', '12', '9']",Public,347.0,https://drive.google.com/file/d/18aiSDErNckscdPF6a5CdCDayEkkfBf94/view,['High']
Melrose High,470014801115,Memphis,2870 Deadrick Ave,38114,Memphis-Shelby County Schools,"['10', '11', '12', '9']",Public,697.0,https://drive.google.com/file/d/18aiSDErNckscdPF6a5CdCDayEkkfBf94/view,['High']
Mitchell High,470014801122,Memphis,658 WMitchell Rd,38109,Memphis-Shelby County Schools,"['10', '11', '12', '9']",Public,371.0,https://drive.google.com/file/d/18aiSDErNckscdPF6a5CdCDayEkkfBf94/view,['High']
Newberry Elementary,470014801123,Memphis,5540 Newberry Ave,38115,Memphis-Shelby County Schools,"['1', '2', '3', '4', '5', 'KG', 'PK']",Public,403.0,https://drive.google.com/file/d/18aiSDErNckscdPF6a5CdCDayEkkfBf94/view,['Elementary']
Oakhaven Elementary,470014801126,Memphis,3795 Bishops Bridge Rd,38118,Memphis-Shelby County Schools,"['1', '2', '3', '4', '5', 'KG', 'PK']",Public,538.0,https://drive.google.com/file/d/18aiSDErNckscdPF6a5CdCDayEkkfBf94/view,['Elementary']
Oakhaven High,470014801127,Memphis,3125 Ladbrook Rd,38118,Memphis-Shelby County Schools,"['10', '11', '12', '9']",Public,389.0,https://drive.google.com/file/d/18aiSDErNckscdPF6a5CdCDayEkkfBf94/view,['High']
Oakshire Elementary,470014801128,Memphis,1765 E Holmes Rd,38116,Memphis-Shelby County Schools,"['1', '2', '3', '4', '5', 'KG', 'PK']",Public,418.0,https://drive.google.com/file/d/18aiSDErNckscdPF6a5CdCDayEkkfBf94/view,['Elementary']
Overton High,470014801130,Memphis,1770 Lanier Ln,38117,Memphis-Shelby County Schools,"['10', '11', '12', '9']",Public,1422.0,https://drive.google.com/file/d/18aiSDErNckscdPF6a5CdCDayEkkfBf94/view,['High']
Peabody Elementary,470014801132,Memphis,2086 Young Ave,38104,Memphis-Shelby County Schools,"['1', '2', '3', '4', '5', 'KG', 'PK']",Public,353.0,https://drive.google.com/file/d/18aiSDErNckscdPF6a5CdCDayEkkfBf94/view,['Elementary']
Raleigh-Bartlett Meadows Elementary,470014801137,Memphis,5195 Twin Woods Ave,38134,Memphis-Shelby County Schools,"['1', '2', '3', '4', '5', 'KG', 'PK']",Public,441.0,https://drive.google.com/file/d/18aiSDErNckscdPF6a5CdCDayEkkfBf94/view,['Elementary']
Raleigh-Egypt High,470014801138,Memphis,3970 Voltaire Ave,38128,Memphis-Shelby County Schools,"['10', '11', '12', '6', '7', '8', '9']",Public,714.0,https://drive.google.com/file/d/18aiSDErNckscdPF6a5CdCDayEkkfBf94/view,"['Middle', 'High']"
Richland Elementary,470014801139,Memphis,5440 Rich Rd,38120,Memphis-Shelby County Schools,"['1', '2', '3', '4', '5', 'KG', 'PK']",Public,870.0,https://drive.google.com/file/d/18aiSDErNckscdPF6a5CdCDayEkkfBf94/view,['Elementary']
Balmoral/Ridgeway Elementary,470014801141,Memphis,5905 Grosvenor Ave,38119,Memphis-Shelby County Schools,"['1', '2', '3', '4', '5', 'KG']",Public,245.0,https://drive.google.com/file/d/18aiSDErNckscdPF6a5CdCDayEkkfBf94/view,['Elementary']
Ridgeway High,470014801142,Memphis,2009 Ridgeway,38119,Memphis-Shelby County Schools,"['10', '11', '12', '9']",Public,818.0,https://drive.google.com/file/d/18aiSDErNckscdPF6a5CdCDayEkkfBf94/view,['High']
Riverview Elementary/Middle,470014801144,Memphis,241 Majuba Ave,38109,Memphis-Shelby County Schools,"['1', '2', '3', '4', '5', '6', '7', '8', 'KG', 'PK']",Public,429.0,https://drive.google.com/file/d/18aiSDErNckscdPF6a5CdCDayEkkfBf94/view,"['Elementary', 'Middle']"
Rozelle Elementary,470014801145,Memphis,993 Roland,38114,Memphis-Shelby County Schools,"['1', '2', '3', '4', '5', 'KG', 'PK']",Public,203.0,https://drive.google.com/file/d/18aiSDErNckscdPF6a5CdCDayEkkfBf94/view,['Elementary']
Scenic Hills Elementary,470014801146,Memphis,3450 Scenic Hwy,38128,Memphis-Shelby County Schools,"['1', '2', '3', '4', '5', 'KG', 'PK']",Public,292.0,https://drive.google.com/file/d/18aiSDErNckscdPF6a5CdCDayEkkfBf94/view,['Elementary']
Sharpe Elementary,470014801151,Memphis,3431 Sharpe Rd,38111,Memphis-Shelby County Schools,"['1', '2', '3', '4', '5', 'KG', 'PK']",Public,315.0,https://drive.google.com/file/d/18aiSDErNckscdPF6a5CdCDayEkkfBf94/view,['Elementary']
Sheffield Elementary,470014801152,Memphis,4290 Chuck Ave,38118,Memphis-Shelby County Schools,"['1', '2', '3', '4', '5', 'KG', 'PK']",Public,510.0,https://drive.google.com/file/d/18aiSDErNckscdPF6a5CdCDayEkkfBf94/view,['Elementary']
Sheffield High,470014801153,Memphis,4315 Sheffield Ave,38118,Memphis-Shelby County Schools,"['10', '11', '12', '9']",Public,536.0,https://drive.google.com/file/d/18aiSDErNckscdPF6a5CdCDayEkkfBf94/view,['High']
Sheffield Career Technology Center,470014801154,Memphis,4350 Chuck Ave,38118,Memphis-Shelby County Schools,"['10', '11', '12', '9']",Public,0.0,https://drive.google.com/file/d/18aiSDErNckscdPF6a5CdCDayEkkfBf94/view,['High']
Sherwood Elementary,470014801155,Memphis,1156 Robinhood Ln,38111,Memphis-Shelby County Schools,"['1', '2', '3', '4', '5', 'KG', 'PK']",Public,558.0,https://drive.google.com/file/d/18aiSDErNckscdPF6a5CdCDayEkkfBf94/view,['Elementary']
Sherwood Middle,470014801156,Memphis,3480 Rhodes Ave,38111,Memphis-Shelby County Schools,"['6', '7', '8']",Public,688.0,https://drive.google.com/file/d/18aiSDErNckscdPF6a5CdCDayEkkfBf94/view,['Middle']
Shrine School,470014801157,Memphis,4259 Forest View Dr,38118,Memphis-Shelby County Schools,"['1', '10', '11', '12', '2', '3', '4', '5', '6', '7', '8', '9', 'KG', 'PK']",Public,138.0,https://drive.google.com/file/d/18aiSDErNckscdPF6a5CdCDayEkkfBf94/view,"['Elementary', 'Middle', 'High']"
Snowden Elementary/Middle,470014801158,Memphis,1870 N Parkway,38112,Memphis-Shelby County Schools,"['1', '2', '3', '4', '5', '6', '7', '8', 'KG', 'PK']",Public,1373.0,https://drive.google.com/file/d/18aiSDErNckscdPF6a5CdCDayEkkfBf94/view,"['Elementary', 'Middle']"
South Park Elementary,470014801159,Memphis,1720 Getwell Rd,38111,Memphis-Shelby County Schools,"['1', '2', '3', '4', '5', 'KG', 'PK']",Public,518.0,https://drive.google.com/file/d/18aiSDErNckscdPF6a5CdCDayEkkfBf94/view,['Elementary']
Springdale Elementary,470014801162,Memphis,880 N Hollywood St,38108,Memphis-Shelby County Schools,"['1', '2', '3', '4', '5', 'KG', 'PK']",Public,244.0,https://drive.google.com/file/d/18aiSDErNckscdPF6a5CdCDayEkkfBf94/view,['Elementary']
Treadwell Elementary,470014801164,Memphis,3538 Given Ave,38122,Memphis-Shelby County Schools,"['1', '2', '3', '4', '5', 'KG', 'PK']",Public,841.0,https://drive.google.com/file/d/18aiSDErNckscdPF6a5CdCDayEkkfBf94/view,['Elementary']
Trezevant High,470014801166,Memphis,3350 N Trezevant St,38127,Memphis-Shelby County Schools,"['10', '11', '12', '9']",Public,552.0,https://drive.google.com/file/d/18aiSDErNckscdPF6a5CdCDayEkkfBf94/view,['High']
Vollentine Elementary,470014801169,Memphis,1682 Vollintine Ave,38107,Memphis-Shelby County Schools,"['1', '2', '3', '4', '5', 'KG', 'PK']",Public,350.0,https://drive.google.com/file/d/18aiSDErNckscdPF6a5CdCDayEkkfBf94/view,['Elementary']
Wells Station Elementary,470014801171,Memphis,1610 Wells Station Rd,38108,Memphis-Shelby County Schools,"['1', '2', '3', '4', '5', 'KG', 'PK']",Public,629.0,https://drive.google.com/file/d/18aiSDErNckscdPF6a5CdCDayEkkfBf94/view,['Elementary']
Westside Elementary,470014801172,Memphis,3347 Dawn Dr,38127,Memphis-Shelby County Schools,"['1', '2', '3', '4', '5', 'KG', 'PK']",Public,346.0,https://drive.google.com/file/d/18aiSDErNckscdPF6a5CdCDayEkkfBf94/view,['Elementary']
Westwood High,470014801176,Memphis,4480 Westmont Rd,38109,Memphis-Shelby County Schools,"['10', '11', '12', '9']",Public,319.0,https://drive.google.com/file/d/18aiSDErNckscdPF6a5CdCDayEkkfBf94/view,['High']
White Station Elementary,470014801177,Memphis,4840 Chickasaw Rd,38117,Memphis-Shelby County Schools,"['1', '2', '3', '4', '5', 'KG', 'PK']",Public,766.0,https://drive.google.com/file/d/18aiSDErNckscdPF6a5CdCDayEkkfBf94/view,['Elementary']
White Station High,470014801178,Memphis,514 S Perkins Rd,38117,Memphis-Shelby County Schools,"['10', '11', '12', '9']",Public,1840.0,https://drive.google.com/file/d/18aiSDErNckscdPF6a5CdCDayEkkfBf94/view,['High']
Whitehaven Elementary,470014801180,Memphis,4783 Elvis Presley Blvd,38116,Memphis-Shelby County Schools,"['1', '2', '3', '4', '5', 'KG', 'PK']",Public,460.0,https://drive.google.com/file/d/18aiSDErNckscdPF6a5CdCDayEkkfBf94/view,['Elementary']
Whitehaven High,470014801181,Memphis,4851 Elvis Presley Blvd,38116,Memphis-Shelby County Schools,"['10', '11', '12', '9']",Public,1587.0,https://drive.google.com/file/d/18aiSDErNckscdPF6a5CdCDayEkkfBf94/view,['High']
